Year,Month,Region,Org Code,Org Name,R1r,R1n,R2r,R2n,SQU03_5_1_1,SQU03_5_1_2,SQU03_5_2_1,SQU03_5_2_2,M4b,M4n,SQU03_6_1_1,SQU03_6_1_2,K4b,K4n,R3s,R3n,R4s,R4n,M1n,M3n,M3m,M390,K1n,K1m,K150,K190,K2n,K2m,K250,K290,K3n,K3m,K350,K390,R5n,R5b,R0n,P1b,P1n
2011,4,Eng,Eng,England,423,1987,107,276,36,52,775,839,1002,1399,1741,2626,4581,4990,138,1906,50,256,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,North East and Yorkshire,Y63,North East and Yorkshire,46,329,15,59,0,3,150,168,166,211,437,554,1091,1179,20,329,9,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,North West,Y62,North West,56,219,14,32,17,25,59,59,160,202,148,188,285,297,17,163,7,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Midlands,Y60,Midlands,66,287,13,34,9,11,169,189,122,177,206,295,986,1101,27,285,5,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,East of England,Y61,East of England,27,226,11,26,0,0,38,39,116,185,54,116,112,120,13,226,6,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,London,Y56,London,89,333,26,60,0,0,94,98,155,223,277,423,916,1003,28,329,14,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,South East,Y59,South East,93,403,17,42,2,2,176,190,103,161,349,563,498,519,28,384,5,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,South West,Y58,South West,46,190,11,23,8,11,89,96,180,240,270,487,693,771,5,190,4,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,14,89,8,37,0,0,105,120,56,65,149,164,279,325,5,89,5,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,56,219,14,32,17,25,59,59,160,202,148,188,285,297,17,163,7,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,32,240,7,22,0,3,45,48,110,146,288,390,812,854,15,240,4,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,16,96,2,9,4,5,72,77,70,98,45,86,273,300,5,94,2,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,50,191,11,25,5,6,97,112,52,79,161,209,713,801,22,191,3,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,27,226,11,26,0,0,38,39,116,185,54,116,112,120,13,226,6,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,89,333,26,60,0,0,94,98,155,223,277,423,916,1003,28,329,14,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
