LAD20CD,LAD20NM,Org Code,Ambulance,Region,County
E07000032,Amber Valley,RX9,East Midlands,East Midlands,Derbyshire
E07000033,Bolsover,RX9,East Midlands,East Midlands,Derbyshire
E07000034,Chesterfield,RX9,East Midlands,East Midlands,Derbyshire
E07000035,Derbyshire Dales,RX9,East Midlands,East Midlands,Derbyshire
E07000036,Erewash,RX9,East Midlands,East Midlands,Derbyshire
E07000037,High Peak,RX9,East Midlands,East Midlands,Derbyshire
E07000038,North East Derbyshire,RX9,East Midlands,East Midlands,Derbyshire
E07000039,South Derbyshire,RX9,East Midlands,East Midlands,Derbyshire
E07000129,Blaby,RX9,East Midlands,East Midlands,Leicestershire
E07000130,Charnwood,RX9,East Midlands,East Midlands,Leicestershire
E07000131,Harborough,RX9,East Midlands,East Midlands,Leicestershire
E07000132,Hinckley and Bosworth,RX9,East Midlands,East Midlands,Leicestershire
E07000133,Melton,RX9,East Midlands,East Midlands,Leicestershire
E07000134,North West Leicestershire,RX9,East Midlands,East Midlands,Leicestershire
E07000135,Oadby and Wigston,RX9,East Midlands,East Midlands,Leicestershire
E07000136,Boston,RX9,East Midlands,East Midlands,Lincolnshire
E07000137,East Lindsey,RX9,East Midlands,East Midlands,Lincolnshire
E07000138,Lincoln,RX9,East Midlands,East Midlands,Lincolnshire
E07000139,North Kesteven,RX9,East Midlands,East Midlands,Lincolnshire
E07000140,South Holland,RX9,East Midlands,East Midlands,Lincolnshire
E07000141,South Kesteven,RX9,East Midlands,East Midlands,Lincolnshire
E07000142,West Lindsey,RX9,East Midlands,East Midlands,Lincolnshire
E07000150,Corby,RX9,East Midlands,East Midlands,Northamptonshire
E07000151,Daventry,RX9,East Midlands,East Midlands,Northamptonshire
E07000152,East Northamptonshire,RX9,East Midlands,East Midlands,Northamptonshire
E07000153,Kettering,RX9,East Midlands,East Midlands,Northamptonshire
E07000154,Northampton,RX9,East Midlands,East Midlands,Northamptonshire
E07000155,South Northamptonshire,RX9,East Midlands,East Midlands,Northamptonshire
E07000156,Wellingborough,RX9,East Midlands,East Midlands,Northamptonshire
E07000170,Ashfield,RX9,East Midlands,East Midlands,Nottinghamshire
E07000171,Bassetlaw,RX9,East Midlands,East Midlands,Nottinghamshire
E07000172,Broxtowe,RX9,East Midlands,East Midlands,Nottinghamshire
E07000173,Gedling,RX9,East Midlands,East Midlands,Nottinghamshire
E07000174,Mansfield,RX9,East Midlands,East Midlands,Nottinghamshire
E07000175,Newark and Sherwood,RX9,East Midlands,East Midlands,Nottinghamshire
E07000176,Rushcliffe,RX9,East Midlands,East Midlands,Nottinghamshire
E06000015,Derby,RX9,East Midlands,East Midlands,
E06000016,Leicester,RX9,East Midlands,East Midlands,
E06000018,Nottingham,RX9,East Midlands,East Midlands,
E06000017,Rutland,RX9,East Midlands,East Midlands,
E07000008,Cambridge,RYC,East of England,East of England,Cambridgeshire
E07000009,East Cambridgeshire,RYC,East of England,East of England,Cambridgeshire
E07000010,Fenland,RYC,East of England,East of England,Cambridgeshire
E07000011,Huntingdonshire,RYC,East of England,East of England,Cambridgeshire
E07000012,South Cambridgeshire,RYC,East of England,East of England,Cambridgeshire
E07000066,Basildon,RYC,East of England,East of England,Essex
E07000067,Braintree,RYC,East of England,East of England,Essex
E07000068,Brentwood,RYC,East of England,East of England,Essex
E07000069,Castle Point,RYC,East of England,East of England,Essex
E07000070,Chelmsford,RYC,East of England,East of England,Essex
E07000071,Colchester,RYC,East of England,East of England,Essex
E07000072,Epping Forest,RYC,East of England,East of England,Essex
E07000073,Harlow,RYC,East of England,East of England,Essex
E07000074,Maldon,RYC,East of England,East of England,Essex
E07000075,Rochford,RYC,East of England,East of England,Essex
E07000076,Tendring,RYC,East of England,East of England,Essex
E07000077,Uttlesford,RYC,East of England,East of England,Essex
E07000095,Broxbourne,RYC,East of England,East of England,Hertfordshire
E07000096,Dacorum,RYC,East of England,East of England,Hertfordshire
E07000242,East Hertfordshire,RYC,East of England,East of England,Hertfordshire
E07000098,Hertsmere,RYC,East of England,East of England,Hertfordshire
E07000099,North Hertfordshire,RYC,East of England,East of England,Hertfordshire
E07000240,St Albans,RYC,East of England,East of England,Hertfordshire
E07000243,Stevenage,RYC,East of England,East of England,Hertfordshire
E07000102,Three Rivers,RYC,East of England,East of England,Hertfordshire
E07000103,Watford,RYC,East of England,East of England,Hertfordshire
E07000241,Welwyn Hatfield,RYC,East of England,East of England,Hertfordshire
E07000143,Breckland,RYC,East of England,East of England,Norfolk
E07000144,Broadland,RYC,East of England,East of England,Norfolk
E07000145,Great Yarmouth,RYC,East of England,East of England,Norfolk
E07000146,King's Lynn and West Norfolk,RYC,East of England,East of England,Norfolk
E07000147,North Norfolk,RYC,East of England,East of England,Norfolk
E07000148,Norwich,RYC,East of England,East of England,Norfolk
E07000149,South Norfolk,RYC,East of England,East of England,Norfolk
E07000200,Babergh,RYC,East of England,East of England,Suffolk
E07000244,East Suffolk,RYC,East of England,East of England,Suffolk
E07000202,Ipswich,RYC,East of England,East of England,Suffolk
E07000203,Mid Suffolk,RYC,East of England,East of England,Suffolk
E07000245,West Suffolk,RYC,East of England,East of England,Suffolk
E06000055,Bedford,RYC,East of England,East of England,
E06000056,Central Bedfordshire,RYC,East of England,East of England,
E06000032,Luton,RYC,East of England,East of England,
E06000031,Peterborough,RYC,East of England,East of England,
E06000033,Southend-on-Sea,RYC,East of England,East of England,
E06000034,Thurrock,RYC,East of England,East of England,
E06000046,Isle of Wight,R1F,Isle of Wight,South East,
E09000007,Camden,RRU,London,London,Inner London
E09000001,City of London,RRU,London,London,Inner London
E09000012,Hackney,RRU,London,London,Inner London
E09000013,Hammersmith and Fulham,RRU,London,London,Inner London
E09000014,Haringey,RRU,London,London,Inner London
E09000019,Islington,RRU,London,London,Inner London
E09000020,Kensington and Chelsea,RRU,London,London,Inner London
E09000022,Lambeth,RRU,London,London,Inner London
E09000023,Lewisham,RRU,London,London,Inner London
E09000025,Newham,RRU,London,London,Inner London
E09000028,Southwark,RRU,London,London,Inner London
E09000030,Tower Hamlets,RRU,London,London,Inner London
E09000032,Wandsworth,RRU,London,London,Inner London
E09000033,Westminster,RRU,London,London,Inner London
E09000002,Barking and Dagenham,RRU,London,London,Outer London
E09000003,Barnet,RRU,London,London,Outer London
E09000004,Bexley,RRU,London,London,Outer London
E09000005,Brent,RRU,London,London,Outer London
E09000006,Bromley,RRU,London,London,Outer London
E09000008,Croydon,RRU,London,London,Outer London
E09000009,Ealing,RRU,London,London,Outer London
E09000010,Enfield,RRU,London,London,Outer London
E09000011,Greenwich,RRU,London,London,Outer London
E09000015,Harrow,RRU,London,London,Outer London
E09000016,Havering,RRU,London,London,Outer London
E09000017,Hillingdon,RRU,London,London,Outer London
E09000018,Hounslow,RRU,London,London,Outer London
E09000021,Kingston upon Thames,RRU,London,London,Outer London
E09000024,Merton,RRU,London,London,Outer London
E09000026,Redbridge,RRU,London,London,Outer London
E09000027,Richmond upon Thames,RRU,London,London,Outer London
E09000029,Sutton,RRU,London,London,Outer London
E09000031,Waltham Forest,RRU,London,London,Outer London
E08000037,Gateshead,RX6,North East,North East,Tyne and Wear
E08000021,Newcastle upon Tyne,RX6,North East,North East,Tyne and Wear
E08000022,North Tyneside,RX6,North East,North East,Tyne and Wear
E08000023,South Tyneside,RX6,North East,North East,Tyne and Wear
E08000024,Sunderland,RX6,North East,North East,Tyne and Wear
E06000047,County Durham,RX6,North East,North East,
E06000005,Darlington,RX6,North East,North East,
E06000001,Hartlepool,RX6,North East,North East,
E06000002,Middlesbrough,RX6,North East,North East,
E06000057,Northumberland,RX6,North East,North East,
E06000003,Redcar and Cleveland,RX6,North East,North East,
E06000004,Stockton-on-Tees,RX6,North East,North East,
